Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
COLLING_S050_170515,colling_s050_170515_data.mat,NA,colling_s050_170515_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S051_170518,colling_s051_170518_data.mat,NA,colling_s051_170518_fingercounting.mat,FALSE,NA,no eye tracker,3s4uh
COLLING_S052_170519,colling_s052_170519_data.mat,NA,colling_s052_170519_fingercounting.mat,FALSE,NA,no eye tracker,3s4uh
COLLING_S053_170523,colling_s053_170523_data.mat,NA,colling_s053_170523_fingercounting.mat,FALSE,NA,no eye tracker,3s4uh
COLLING_S054_170526,colling_s054_170526_data.mat,NA,colling_s054_170526_fingercounting.mat,FALSE,NA,no eye tracker,3s4uh
COLLING_S055_170531,colling_s055_170531_data.mat,NA,colling_s055_170531_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S056_170606,colling_s056_170606_data.mat,NA,colling_s056_170606_fingercounting.mat,FALSE,NA,no eye tracker,3s4uh
COLLING_S057_170606,colling_s057_170606_data.mat,NA,colling_s057_170606_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S058_170606,colling_s058_170606_data.mat,NA,colling_s058_170606_fingercounting.mat,FALSE,NA,no eye tracker,3s4uh
COLLING_S059_170608,colling_s059_170608_data.mat,NA,colling_s059_170608_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S060_170613,colling_s060_170613_data.mat,NA,colling_s060_170613_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S061_170616,colling_s061_170616_data.mat,NA,colling_s061_170616_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S062_170616,colling_s062_170616_data.mat,NA,colling_s062_170616_fingercounting.mat,FALSE,NA,no eye tracker,3s4uh
COLLING_S063_170619,colling_s063_170619_data.mat,NA,colling_s063_170619_fingercounting.mat,FALSE,NA,no eye tracker,3s4uh
COLLING_S064_170621,colling_s064_170621_data.mat,NA,colling_s064_170621_fingercounting.mat,FALSE,NA,no eye tracker,3s4uh
COLLING_S065_170622,colling_s065_170622_data.mat,NA,colling_s065_170622_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S066_170622,colling_s066_170622_data.mat,NA,colling_s066_170622_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S067_170622,colling_s067_170622_data.mat,NA,colling_s067_170622_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S068_170623,colling_s068_170623_data.mat,NA,colling_s068_170623_fingercounting.mat,FALSE,NA,no eye tracker,3s4uh
COLLING_S069_170626,colling_s069_170626_data.mat,NA,colling_s069_170626_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S070_170628,colling_s070_170628_data.mat,NA,colling_s070_170628_fingercounting.mat,FALSE,NA,no eye tracker,3s4uh
COLLING_S071_170705,colling_s071_170705_data.mat,NA,colling_s071_170705_fingercounting.mat,FALSE,NA,NA,3s4uh
COLLING_S072_170705,colling_s072_170705_data.mat,NA,colling_s072_170705_fingercounting.mat,FALSE,NA,NA,3s4uh
