Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
70s,70s_primary_data.mat,70s_secondary_data.mat,70s_fingercounting.mat,FALSE,NA,NA,8gdp3
71s,71s_primary_data.mat,71s_secondary_data.mat,71s_fingercounting.mat,FALSE,NA,NA,8gdp3
72s,72s_primary_data.mat,72s_secondary_data.mat,72s_fingercounting.mat,FALSE,NA,NA,8gdp3
73s,73s_primary_data.mat,73s_secondary_data.mat,73s_fingercounting.mat,FALSE,NA,NA,8gdp3
74s,74s_primary_data.mat,74s_secondary_data.mat,74s_fingercounting.mat,FALSE,NA,NA,8gdp3
75s,75s_primary_data.mat,75s_secondary_data.mat,75s_fingercounting.mat,FALSE,NA,NA,8gdp3
76s,76s_primary_data.mat,76s_secondary_data.mat,76s_fingercounting.mat,FALSE,NA,NA,8gdp3
77s,77s_primary_data.mat,77s_secondary_data.mat,77s_fingercounting.mat,FALSE,NA,NA,8gdp3
78s,78s_primary_data.mat,78s_secondary_data.mat,78s_fingercounting.mat,FALSE,NA,NA,8gdp3
79s,79s_primary_data.mat,79s_secondary_data.mat,79s_fingercounting.mat,FALSE,NA,NA,8gdp3
80s,80s_primary_data.mat,80s_secondary_data.mat,80s_fingercounting.mat,FALSE,NA,NA,8gdp3
81s,81s_primary_data.mat,81s_secondary_data.mat,81s_fingercounting.mat,FALSE,NA,NA,8gdp3
82s,82s_primary_data.mat,82s_secondary_data.mat,82s_fingercounting.mat,FALSE,NA,NA,8gdp3
83s,83s_primary_data.mat,83s_secondary_data.mat,83s_fingercounting.mat,FALSE,NA,NA,8gdp3
84s,84s_primary_data.mat,84s_secondary_data.mat,84s_fingercounting.mat,FALSE,NA,NA,8gdp3
85s,85s_primary_data.mat,85s_secondary_data.mat,85s_fingercounting.mat,FALSE,NA,NA,8gdp3
86s,86s_primary_data.mat,86s_secondary_data.mat,86s_fingercounting.mat,FALSE,NA,NA,8gdp3
87s,87s_primary_data.mat,87s_secondary_data.mat,87s_fingercounting.mat,FALSE,NA,NA,8gdp3
88s,88s_primary_data.mat,88s_secondary_data.mat,88s_fingercounting.mat,FALSE,NA,NA,8gdp3
89s,89s_primary_data.mat,89s_secondary_data.mat,89s_fingercounting.mat,FALSE,NA,NA,8gdp3
90s,90s_primary_data.mat,90s_secondary_data.mat,90s_fingercounting.mat,FALSE,NA,NA,8gdp3
91s,91s_primary_data.mat,91s_secondary_data.mat,91s_fingercounting.mat,FALSE,NA,NA,8gdp3
92s,92s_primary_data.mat,92s_secondary_data.mat,92s_fingercounting.mat,FALSE,NA,NA,8gdp3
93s,93s_primary_data.mat,93s_secondary_data.mat,93s_fingercounting.mat,FALSE,NA,NA,8gdp3
94s,94s_primary_data.mat,94s_secondary_data.mat,94s_fingercounting.mat,FALSE,NA,NA,8gdp3
95s,95s_primary_data.mat,95s_secondary_data.mat,95s_fingercounting.mat,FALSE,NA,NA,8gdp3
96s,96s_primary_data.mat,96s_secondary_data.mat,96s_fingercounting.mat,FALSE,NA,NA,8gdp3
97s,97s_primary_data.mat,97s_secondary_data.mat,97s_fingercounting.mat,FALSE,NA,NA,8gdp3
