Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
Chen_p0038_170517,chen_p0038_170517_primary_data.mat,chen_p0038_170517_secondary_data.mat,chen_p0038_170517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0039_170517,chen_p0039_170517_primary_data.mat,chen_p0039_170517_secondary_data.mat,chen_p0039_170517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0040_170517,chen_p0040_170517_primary_data.mat,chen_p0040_170517_secondary_data.mat,chen_p0040_170517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0041_170517,chen_p0041_170517_primary_data.mat,chen_p0041_170517_secondary_data.mat,chen_p0041_170517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0042_180517,chen_p0042_180517_primary_data.mat,chen_p0042_180517_secondary_data.mat,chen_p0042_180517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0043_180517,chen_p0043_180517_primary_data.mat,chen_p0043_180517_secondary_data.mat,chen_p0043_180517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0044_190517,chen_p0044_190517_primary_data.mat,chen_p0044_190517_secondary_data.mat,chen_p0044_190517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0045_190517,chen_p0045_190517_primary_data.mat,chen_p0045_190517_secondary_data.mat,chen_p0045_190517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0046_210517,chen_p0046_210517_primary_data.mat,chen_p0046_210517_secondary_data.mat,chen_p0046_210517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0047_220517,chen_p0047_220517_primary_data.mat,chen_p0047_220517_secondary_data.mat,chen_p0047_220517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0048_220517,chen_p0048_220517_primary_data.mat,chen_p0048_220517_secondary_data.mat,chen_p0048_220517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0049_220517,chen_p0049_220517_primary_data.mat,chen_p0049_220517_secondary_data.mat,chen_p0049_220517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0050_230517,chen_p0050_230517_primary_data.mat,chen_p0050_230517_secondary_data.mat,chen_p0050_230517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0051_230517,chen_p0051_230517_primary_data.mat,chen_p0051_230517_secondary_data.mat,chen_p0051_230517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0052_250517,chen_p0052_250517_primary_data.mat,chen_p0052_250517_secondary_data.mat,chen_p0052_250517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0053_250517,chen_p0053_250517_primary_data.mat,chen_p0053_250517_secondary_data.mat,chen_p0053_250517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0054_260517,chen_p0054_260517_primary_data.mat,chen_p0054_260517_secondary_data.mat,chen_p0054_260517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0055_260517,chen_p0055_260517_primary_data.mat,chen_p0055_260517_secondary_data.mat,chen_p0055_260517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0056_260517,chen_p0056_260517_primary_data.mat,chen_p0056_260517_secondary_data.mat,chen_p0056_260517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0057_290517,chen_p0057_290517_primary_data.mat,chen_p0057_290517_secondary_data.mat,chen_p0057_290517_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0058_020617,chen_p0058_020617_primary_data.mat,chen_p0058_020617_secondary_data.mat,chen_p0058_020617_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0059_060617,chen_p0059_060617_primary_data.mat,chen_p0059_060617_secondary_data.mat,chen_p0059_060617_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0060_060617,chen_p0060_060617_primary_data.mat,chen_p0060_060617_secondary_data.mat,chen_p0060_060617_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0061_070617,chen_p0061_070617_primary_data.mat,chen_p0061_070517_secondary_data.mat,chen_p0061_070617_fingercounting.mat,FALSE,NA,NA,vzt3a
Chen_p0062_140617,chen_p0062_140617_primary_data.mat,chen_p0062_140617_secondary_data.mat,chen_p0062_140617_fingercounting.mat,FALSE,NA,NA,vzt3a
