Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
Holmes_S57_170414_12pm,holmes_s57_170414_12pm_data.mat,NA,holmes_s57_170414_12pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S58_170414_2pm,holmes_s58_170414_2pm_data.mat,NA,holmes_s58_170414_2pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S59_170414_3pm,holmes_s59_170414_3pm_data.mat,NA,holmes_s59_170414_3pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S60_170414_5pm,holmes_s60_170414_5pm_data.mat,NA,holmes_s60_170414_5pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S61_170415_8am,holmes_s61_170415_8am_data.mat,NA,holmes_s61_170415_8am_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S62_170415_12pm,holmes_s62_170415_12pm_data.mat,NA,holmes_s62_170415_12pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S63_170415_4pm,holmes_s63_170415_4pm_data.mat,NA,holmes_s63_170415_4pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S64_150417_6pm,holmes_s64_150417_6pm_data.mat,NA,holmes_s64_150417_6pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S66_170627_4pm,holmes_s66_170627_4pm_data.mat,NA,holmes_s66_170627_4pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S67_170416_3pm,holmes_s67_170416_3pm _data.mat,NA,holmes_s67_170416_3pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S68_170416_4pm,holmes_s68_170416_4pm_data.mat,NA,holmes_s68_170416_4pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S69_170416_5pm,holmes_s69_170416_5pm_data.mat,NA,holmes_s69_170416_5pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S70_170416_6pm,holmes_s70_170416_6pm_data.mat,NA,holmes_s70_170416_6pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S71_170416_7pm,holmes_s71_170416_7pm_data.mat,NA,holmes_s71_170416_7pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S72_170416_8pm,holmes_s72_170416_8pm_data.mat,NA,holmes_s72_170416_8pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S73_170416_9pm,holmes_s73_170416_9pm_data.mat,NA,holmes_s73_170416_9pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S74_170510_1pm,holmes_s74_170510_1pm_data.mat,NA,holmes_s74_170510_1pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S75_170510_3pm,holmes_s75_170510_3pm_data.mat,NA,holmes_s75_170510_3pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S76_170614_12pm,holmes_s76_170614_12pm_data.mat,NA,holmes_s76_170614_12pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S77_170621_3pm,holmes_s77_170621_3pm_data.mat,NA,holmes_s77_170621_3pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S78_170622_2pm,holmes_s78_170622_2pm_data.mat,NA,holmes_s78_170622_2pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S79_170623_2pm,holmes_s79_170623_2pm_data.mat,NA,holmes_s79_170623_2pm_fingercounting.mat,FALSE,NA,NA,pqcf4
Holmes_S80_170623_3pm,holmes_s80_170623_3pm_data.mat,NA,holmes_s80_170623_3pm_fingercounting.mat,FALSE,NA,NA,pqcf4
