ConditionDescription,DependentVariable,LabID,ConditionID,y,v
LS,d250,2t9re,1,2.36524954975357,9.48710287950872
LS,d500,2t9re,1,3.94595169154228,7.86090057796041
LS,d750,2t9re,1,-0.261365925389147,7.90434511866954
LS,d1000,2t9re,1,-0.487448741850363,9.28979417264859
RS,d250,2t9re,2,-1.55557759775927,8.96645525971536
RS,d500,2t9re,2,1.68687529735774,4.52965000392665
RS,d750,2t9re,2,-1.89715463921846,5.4635373030355
RS,d1000,2t9re,2,1.58752737839473,2.53607290774546
LS,d250,3s4uh,3,-4.22635698357059,12.7924037208714
LS,d500,3s4uh,3,3.41340821561641,5.69070576549272
LS,d750,3s4uh,3,-1.56710044934119,3.72817959894889
LS,d1000,3s4uh,3,3.94273457551289,4.57136262793415
RS,d250,3s4uh,4,-0.90235037037754,3.71874525740274
RS,d500,3s4uh,4,-1.42025537010401,8.45153041971783
RS,d750,3s4uh,4,1.09736181322688,4.78962075767078
RS,d1000,3s4uh,4,2.25440715614248,3.7947105133398
LS,d250,5hgk4,5,-1.39443843084908,21.8532820441229
LS,d500,5hgk4,5,-0.566931444049758,16.398622132585
LS,d750,5hgk4,5,-4.76736540146173,16.8571736886542
LS,d1000,5hgk4,5,1.20870237848687,15.4187730381639
RS,d250,5hgk4,6,1.04833628941286,7.60806607951289
RS,d500,5hgk4,6,-1.31483513252601,7.08685438799079
RS,d750,5hgk4,6,-0.900943619688324,4.55611014355278
RS,d1000,5hgk4,6,-1.47581466453221,5.30961387693641
LS,d250,6ea38,7,-0.588427826114322,7.61252706718704
LS,d500,6ea38,7,-4.38660092116915,12.7983396699911
LS,d750,6ea38,7,7.35683808397023,18.83320989513
LS,d1000,6ea38,7,-6.44786749013551,19.1540893251437
RS,d250,6ea38,8,0.953786281981541,6.29265843795657
RS,d500,6ea38,8,-4.81022585970926,6.32391493732302
RS,d750,6ea38,8,-2.67969706765383,4.10744492632737
RS,d1000,6ea38,8,-4.21816325813283,6.86378787809468
LS,d250,8gdp3,9,-4.65612529836285,6.76662077446746
LS,d500,8gdp3,9,-0.569757692326419,3.4285524616747
LS,d750,8gdp3,9,2.37309404641151,4.96699127085627
LS,d1000,8gdp3,9,0.607350064184349,4.68928286931838
RS,d250,8gdp3,10,1.37422529158634,6.38709620422353
RS,d500,8gdp3,10,2.69382730007889,2.6869235255302
RS,d750,8gdp3,10,-0.945341689503102,3.60867356688638
