V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
305.974073450252,36.05695898536,-127.75529988366,45.9067197876845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.05695898536,163.505946038135,-10.2595530137993,-53.0231978930801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-127.75529988366,-10.2595530137993,343.644146781816,-33.2505655261536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.9067197876845,-53.0231978930801,-33.2505655261536,204.800009874088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,456.173672738658,-76.9518413781315,50.9674467051657,-46.811697590747,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-76.9518413781315,173.759910309102,21.4283992010104,10.1876030646134,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50.9674467051657,21.4283992010104,123.757557834415,-6.64634154677401,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-46.811697590747,10.1876030646134,-6.64634154677401,79.9677225401125,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,245.656171934358,83.9983492930534,-11.3133664746243,-135.782471146467,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,83.9983492930534,146.288155790003,-28.7997490407844,-92.1427078697483,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-11.3133664746243,-28.7997490407844,113.853206211731,41.3378897756779,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-135.782471146467,-92.1427078697483,41.3378897756779,164.13419859269,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,168.214881961662,-16.2083319713875,15.7838734098904,-8.7461693276898,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-16.2083319713875,77.9735300090831,-6.27618803327861,-5.54696021004673,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,15.7838734098904,-6.27618803327861,37.1825738693237,-9.01645207926623,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-8.7461693276898,-5.54696021004673,-9.01645207926623,53.1337493942539,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.299970454019,-280.831115491334,-14.6989213773631,97.0994624021575
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-280.831115491334,420.78112533838,-54.9847720376539,-108.33892796742
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.6989213773631,-54.9847720376539,104.566133752965,16.3372041380506
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0994624021575,-108.33892796742,16.3372041380506,176.099860404573
