ConditionDescription,DependentVariable,LabID,y,v
Not.Applicable,d250,8gdp3,-0.940203736685971,25.157896721086
Not.Applicable,d500,8gdp3,3.0520621726517,12.9260219475116
Not.Applicable,d750,8gdp3,-6.75547147095248,5.35962020378306
Not.Applicable,d1000,8gdp3,-2.37950854383367,24.3560991197112
Not.Applicable,d250,fkjbz,8.20076695020486,8.3823627802407
Not.Applicable,d500,fkjbz,0.125843085276967,39.0080160587638
Not.Applicable,d750,fkjbz,-1.79984852115729,62.4457292245659
Not.Applicable,d1000,fkjbz,-0.985331043320157,30.0691577350314
Not.Applicable,d250,pqcf4,-2.90793959050703,28.6207437376438
Not.Applicable,d500,pqcf4,-0.463524380582489,9.05638899291603
Not.Applicable,d750,pqcf4,-0.185662490807412,13.3221168264893
Not.Applicable,d1000,pqcf4,3.95382790608604,14.2904227642521
Not.Applicable,d250,t5y2h,-2.91137544942915,6.82390033335556
Not.Applicable,d500,t5y2h,-1.65945348397714,7.96535667272072
Not.Applicable,d750,t5y2h,2.75214517925874,5.62801941116859
Not.Applicable,d1000,t5y2h,2.20422480209026,7.03773741293364
