V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
25.157896721086,5.69788987126228,2.78004267232562,-4.7025054245224,0,0,0,0,0,0,0,0,0,0,0,0
5.69788987126228,12.9260219475116,-2.47282597380144,-2.97709624528544,0,0,0,0,0,0,0,0,0,0,0,0
2.78004267232562,-2.47282597380144,5.35962020378306,8.50458667379766,0,0,0,0,0,0,0,0,0,0,0,0
-4.7025054245224,-2.97709624528544,8.50458667379766,24.3560991197112,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8.3823627802407,-8.42082691754759,-12.3991807241875,1.20367712219674,0,0,0,0,0,0,0,0
0,0,0,0,-8.42082691754759,39.0080160587638,-0.268084362712579,4.28620319290857,0,0,0,0,0,0,0,0
0,0,0,0,-12.3991807241875,-0.268084362712579,62.4457292245659,3.52456616064761,0,0,0,0,0,0,0,0
0,0,0,0,1.20367712219674,4.28620319290857,3.52456616064761,30.0691577350314,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,28.6207437376438,-7.10350550557353,12.3123399945445,-16.102455003043,0,0,0,0
0,0,0,0,0,0,0,0,-7.10350550557353,9.05638899291603,-2.66680086915867,2.90005807211233,0,0,0,0
0,0,0,0,0,0,0,0,12.3123399945445,-2.66680086915867,13.3221168264893,-5.06996139415884,0,0,0,0
0,0,0,0,0,0,0,0,-16.102455003043,2.90005807211233,-5.06996139415884,14.2904227642521,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6.82390033335556,-0.0463833170899468,-0.0960638506453207,1.02596580093518
0,0,0,0,0,0,0,0,0,0,0,0,-0.0463833170899468,7.96535667272072,-2.14811686568839,-3.7943365290174
0,0,0,0,0,0,0,0,0,0,0,0,-0.0960638506453207,-2.14811686568839,5.62801941116859,1.87660321012647
0,0,0,0,0,0,0,0,0,0,0,0,1.02596580093518,-3.7943365290174,1.87660321012647,7.03773741293364
