ConditionDescription,DependentVariable,LabID,ConditionID,y,v
LTR,d250,2t9re,1,0.437221826953983,3.5673436366763
LTR,d500,2t9re,1,1.80809193522831,2.23884216141431
LTR,d750,2t9re,1,-1.54459526186359,2.55147078561431
LTR,d1000,2t9re,1,0.00239080735907185,2.56318528482415
LTR,d250,3s4uh,3,-1.79172092852905,2.34056953108013
LTR,d500,3s4uh,3,0.332939463507757,3.86829710042432
LTR,d750,3s4uh,3,0.810277660939028,2.27801493942513
LTR,d1000,3s4uh,3,3.24557893129794,2.01242766306108
NLR,d250,3s4uh,4,-2.67761159324664,26.5901854013628
NLR,d500,3s4uh,4,-4.94523918581428,20.0659825182796
NLR,d750,3s4uh,4,0.118261764985533,10.3374545531908
NLR,d1000,3s4uh,4,-1.71312078170432,13.8459417214364
LTR,d250,5hgk4,5,-0.417048111092603,3.22570742321686
LTR,d500,5hgk4,5,-0.733516529077089,2.44302015681198
LTR,d750,5hgk4,5,-0.89910162808842,2.3168660988728
LTR,d1000,5hgk4,5,0.611915338912973,2.280059695289
LTR,d250,6ea38,7,-0.152043606174111,2.46517017493545
LTR,d500,6ea38,7,-0.699905740259846,2.49961241020258
LTR,d750,6ea38,7,1.83177554836744,2.99907268163586
LTR,d1000,6ea38,7,-4.23855571150118,4.12156563519372
LTR,d250,8gdp3,9,-1.66037670873295,1.93501948624052
LTR,d500,8gdp3,9,1.5378490410935,0.970948529037326
LTR,d750,8gdp3,9,-0.603691972592757,1.28963388890783
LTR,d1000,8gdp3,9,1.42346407896496,1.14386593893988
LTR,d250,ecdmw,11,0.655661191472051,3.5557767438051
LTR,d500,ecdmw,11,-0.489448802228489,1.82807389658486
LTR,d750,ecdmw,11,-2.1079946501876,1.82531955016956
LTR,d1000,ecdmw,11,-1.47102574414669,1.73204308838228
LTR,d250,encwv,13,0.61432963965568,3.17795216430987
LTR,d500,encwv,13,3.014039165024,2.78872766115638
LTR,d750,encwv,13,0.592891931723105,3.75853670249453
LTR,d1000,encwv,13,2.00392122848333,2.11331984089911
NLR,d250,encwv,14,-2.37135384282531,7.25145122682716
NLR,d500,encwv,14,4.82716564748155,39.9180781776219
NLR,d750,encwv,14,-2.37451202126102,10.2354568050873
NLR,d1000,encwv,14,7.29962382268681,33.9190637499252
LTR,d250,fkjbz,15,3.58316147728003,3.06450036104852
LTR,d500,fkjbz,15,-0.226449569237296,1.54753835457932
LTR,d750,fkjbz,15,-1.49963503212607,1.66475183167682
LTR,d1000,fkjbz,15,-1.31174644796354,1.80532534031114
NLR,d250,fkjbz,16,-9.21455099652358,25.7750672081688
NLR,d500,fkjbz,16,6.58580971594964,44.8252069856751
NLR,d750,fkjbz,16,-2.54862103532859,45.5946749880577
NLR,d1000,fkjbz,16,1.67177617496171,56.4002070089475
LTR,d250,kwg95,17,2.22322977201147,3.5117136528187
LTR,d500,kwg95,17,0.0710621828569825,2.63673937395548
LTR,d750,kwg95,17,-3.23433768161576,2.82680054025043
LTR,d1000,kwg95,17,2.07892927974971,1.83946235121066
NLR,d250,kwg95,18,-9.77027517114022,21.4985566032819
NLR,d500,kwg95,18,7.81222687871273,38.7910634673291
NLR,d750,kwg95,18,-13.2070658474799,32.3550434721445
NLR,d1000,kwg95,18,-8.17863106565228,34.3271420683132
LTR,d250,kx4w9,19,-0.312735127102873,2.79787820016231
