"delay","RT","p.value","df","t","se","sd","dz","lower","upper"
250,-5,0.3,9,1.09971619639466,4.54662759027479,14.3776988578312,0.347760796038417,-13.9112263280547,3.91122632805472
500,18,0.02,9,2.82143792502581,6.37972568538269,20.1744640128881,0.892217011986094,5.49596742540481,30.5040325745952
750,23,0.03,9,2.5738039775468,8.93618946922377,28.2587123255583,0.813908281984877,5.48539048129531,40.5146095187047
1000,11,0.09,9,1.89922181978128,5.79184584203376,18.3154247174025,0.600586673239868,-0.351809254394229,22.3518092543942
