Node,Code,HasEye
8gdp3,109s,FALSE
8gdp3,29s,FALSE
8gdp3,58s,FALSE
8gdp3,14s,FALSE
8gdp3,105s,FALSE
8gdp3,69s,FALSE
8gdp3,25s,FALSE
8gdp3,116s,FALSE
8gdp3,36s,FALSE
8gdp3,47s,FALSE
8gdp3,87s,FALSE
8gdp3,43s,FALSE
8gdp3,98s,FALSE
8gdp3,54s,FALSE
8gdp3,10s,FALSE
8gdp3,101s,FALSE
8gdp3,21s,FALSE
8gdp3,112s,FALSE
8gdp3,76s,FALSE
8gdp3,32s,FALSE
8gdp3,123s,FALSE
8gdp3,83s,FALSE
8gdp3,94s,FALSE
8gdp3,61s,FALSE
8gdp3,72s,FALSE
8gdp3,90s,FALSE
8gdp3,19s,FALSE
8gdp3,15s,FALSE
8gdp3,106s,FALSE
8gdp3,26s,FALSE
8gdp3,117s,FALSE
8gdp3,37s,FALSE
8gdp3,48s,FALSE
8gdp3,59s,FALSE
8gdp3,55s,FALSE
8gdp3,11s,FALSE
8gdp3,102s,FALSE
8gdp3,66s,FALSE
8gdp3,22s,FALSE
8gdp3,113s,FALSE
8gdp3,77s,FALSE
8gdp3,33s,FALSE
8gdp3,124s,FALSE
8gdp3,88s,FALSE
8gdp3,44s,FALSE
8gdp3,99s,FALSE
8gdp3,95s,FALSE
8gdp3,62s,FALSE
8gdp3,73s,FALSE
8gdp3,120s,FALSE
8gdp3,84s,FALSE
8gdp3,40s,FALSE
8gdp3,91s,FALSE
8gdp3,80s,FALSE
8gdp3,118s,FALSE
8gdp3,38s,FALSE
8gdp3,16s,FALSE
8gdp3,107s,FALSE
8gdp3,27s,FALSE
8gdp3,67s,FALSE
8gdp3,23s,FALSE
8gdp3,114s,FALSE
8gdp3,78s,FALSE
8gdp3,34s,FALSE
8gdp3,125s,FALSE
8gdp3,89s,FALSE
8gdp3,45s,FALSE
8gdp3,56s,FALSE
8gdp3,12s,FALSE
8gdp3,103s,FALSE
8gdp3,63s,FALSE
8gdp3,110s,FALSE
8gdp3,74s,FALSE
8gdp3,30s,FALSE
8gdp3,121s,FALSE
8gdp3,85s,FALSE
8gdp3,41s,FALSE
8gdp3,96s,FALSE
8gdp3,52s,FALSE
ecdmw,Treccani_S40_150617,FALSE
ecdmw,Treccani_S25_310517,TRUE
ecdmw,Treccani_S06_100517,FALSE
ecdmw,Treccani_S14_240517,TRUE
ecdmw,Treccani_S19_290517,FALSE
ecdmw,Treccani_S23_300517,FALSE
ecdmw,Treccani_S31_090617,TRUE
ecdmw,Treccani_S29_060617,TRUE
ecdmw,Treccani_S32_120617,TRUE
ecdmw,Treccani_S56_110717,FALSE
ecdmw,Treccani_S50_220617,TRUE
ecdmw,Treccani_S47_210617,FALSE
ecdmw,Treccani_S38_140617,TRUE
ecdmw,Treccani_S04_050517,TRUE
ecdmw,Treccani_S27_010617,TRUE
ecdmw,Treccani_S22_300517,TRUE
ecdmw,Treccani_S08_150517,FALSE
ecdmw,Treccani_S54_060717,FALSE
ecdmw,Treccani_S52_270617,FALSE
ecdmw,Treccani_S51_230617,TRUE
ecdmw,Treccani_S48_210617,TRUE
ecdmw,Treccani_S11_160517,TRUE
ecdmw,Treccani_S30_090617,TRUE
ecdmw,Treccani_S07_110517,TRUE
ecdmw,Treccani_S21_290517,FALSE
ecdmw,Treccani_S02_130417,TRUE
ecdmw,Treccani_S24_310517,TRUE
ecdmw,Treccani_S36_130617,FALSE
ecdmw,Treccani_S05_100517,FALSE
ecdmw,Treccani_S58_180717,FALSE
ecdmw,Treccani_S57_180717,FALSE
ecdmw,Treccani_S55_110717,FALSE
ecdmw,Treccani_S53_060717,FALSE
ecdmw,Treccani_S49_220617,FALSE
ecdmw,Treccani_S46_200617,TRUE
ecdmw,Treccani_S44_199617,FALSE
ecdmw,Treccani_S43_160617,TRUE
ecdmw,Treccani_S41_150617,TRUE
ecdmw,Treccani_S13_230517,TRUE
ecdmw,Treccani_S18_260517,TRUE
